date,As
2015-6-14,0.00261667
2015-6-15,0.0101
2015-6-16,0.00333333
2015-6-17,0.00293333
2015-6-18,0.00148333
2015-6-19,0.0014
2015-6-20,0.00082857
2015-6-21,0.0012125
2015-6-22,0.00161667
2015-6-23,0.00573333
2015-6-24,0.0012
2015-6-25,0.00141429
2015-6-26,0.0010875
2015-6-27,0.00091667
2015-6-28,0.0007875
2015-6-29,0.00066667
2015-6-30,0.0016125
2015-7-1,0.00988182
2015-7-2,0.00122857
2015-7-3,0.0020125
2015-7-4,0.00806667
2015-7-5,0.003075
2015-7-6,0.00471111
2015-7-7,0.0017
2015-7-8,0.00165714
2015-7-9,0.00185
2015-7-10,0.00248333
2015-7-11,0.00263333
2015-7-12,0.0012
2015-7-13,0.00559091
2015-7-14,0.0018
2015-7-15,0.00188333
2015-7-16,0.00142857
2015-7-17,0.00125714
2015-7-18,0.00105
2015-7-19,0.00081667
2015-7-20,0.01327778
